"","X","PrizeID","Alias","Prize.Name","Inst","Year","Genre","person_id","person_role","last_name","first_name","name","gender","sexuality","uk_residence","ethnicity_macro","ethnicity","highest_degree","degree_institution","degree_field_category","degree_field","viaf","book_id","book_title"
"766",766,13,"James Tait Black Prize for Drama","James Tait Black Prize for Drama","The University of Edinburgh",2017,"drama",515,"winner","Gupta","Tanika","Gupta, Tanika","woman","unknown",TRUE,"Asian","British Indian","Bachelors","University of Oxford","History and Cultural Studies","Modern History","9334762",662,"Lions and Tigers"
"767",767,8,"Booker Prize","Man Booker Prize","Booker Foundation",2017,"fiction",201,"shortlisted","Hamid","Mohsin","Hamid, Mohsin","man","unknown",TRUE,"Asian","Pakistani British","Juris Doctor","Harvard University","Law","Law","12483166",129,"Exit West"
"768",768,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2017,"crime",433,"winner","Harper","Jane","Harper, Jane","woman","unknown",TRUE,"White British","British Australian","Bachelors","University of Kent","Multiple","English and History","2895148997592359870007",548,"The Dry"
"769",769,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2017,"crime",423,"shortlisted","Herron","Mick","Herron, Mick","man","unknown",TRUE,"White British","British","Bachelors","University of Oxford","Language and Literature","English","24546389",551,"Spook Street"
"770",770,3,"Costa First Novel Award","Costa First Novel Award","Costa",2017,"fiction",55,"winner","Honeyman","Gail","Honeyman, Gail","woman","unknown",TRUE,"White British","Scottish","Bachelors","University of Glasgow","Language and Literature","French Language and Literature","160147118187926340978",144,"Eleanor Oliphant is Completely Fine"
"771",771,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2017,"non-fiction",623,"shortlisted","Kassabova","Kapka","Kassabova, Kapka","woman","unknown",TRUE,"Non-UK White","Bulgarian","Masters","Victoria University","Writing","English and Creative Writing","51916003",785,"Border"
"772",772,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",2017,"fiction",6,"winner","McBride","Eimear","McBride, Eimear","woman","unknown",TRUE,"Irish","Irish","Bachelors","Drama Centre London","Arts","Acting","305332994",200,"The Lesser Bohemians"
"773",773,4,"Costa Novel Award","Costa Novel Award","Costa",2017,"fiction",56,"winner","McGregor","Jon","McGregor, Jon","man","unknown",TRUE,"White British","British","Bachelors","University of Bradford","Arts","Media Technology and Production","98939743",213,"Reservoir 13"
"774",774,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2017,"non-fiction",624,"shortlisted","Mendelsohn","Daniel","Mendelsohn, Daniel","man","unknown",FALSE,"Jewish","Jewish American","Doctorate","Princeton University","Language and Literature","Classics","30710526",786,"An Odyssey"
"775",775,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2017,"crime",428,"shortlisted","Miller","Derek B.","Miller, Derek B.","man","unknown",FALSE,"Jewish","Jewish American","Doctorate","unknown","Politics and Economics","International Relations","44067959",552,"The Girl in Green"
"776",776,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2017,"fiction",323,"shortlisted","Morgan","CE","Morgan, CE","woman","unknown",TRUE,"Non-UK White","White American","Masters","unknown","Unknown","Unknown","14238477",395,"The Sport of Kings"
"777",777,8,"Booker Prize","Man Booker Prize","Booker Foundation",2017,"fiction",202,"shortlisted","Mozley","Fiona","Mozley, Fiona","woman","queer",TRUE,"White British","English","Doctorate","University of York","History and Cultural Studies","Medieval Studies","44150565525106251250",237,"Elmet"
"778",778,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",2017,"crime",415,"shortlisted","Mukherjee","Abir","Mukherjee, Abir","man","unknown",TRUE,"Asian","British Indian","Unknown","unknown","Unknown","Unknown","30147118128226340509",553,"A Rising Man"
"779",779,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2017,"non-fiction",625,"shortlisted","O'Connell","Mark","O'Connell, Mark","man","unknown",FALSE,"Irish","Jewish British","Doctorate","Trinity College, Dublin","Language and Literature","English Literature","305021134",788,"To Be a Machine"
"780",780,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2017,"poetry",588,"shortlisted","Owen","Antony","Owen, Antony","man","unknown",TRUE,"White British","English","Unknown","unknown","Unknown","Unknown","121118494",749,"The Nagasaki Elder"
"781",781,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2017,"fiction",324,"shortlisted","Riley","Gwendoline","Riley, Gwendoline","woman","unknown",TRUE,"White British","British","Bachelors","Manchester Metropolitan University","Language and Literature","English Literature","85372369",396,"First Love"
"782",782,7,"Costa Children's Book Award","Costa Children's Book Award","Costa",2017,"children's",58,"winner","Rundell","Katherine","Rundell, Katherine","woman","unknown",TRUE,"White British","English","Doctorate","University of Oxford","Language and Literature","English Literature","163169611",280,"The Explorer"
"783",783,8,"Booker Prize","Man Booker Prize","Booker Foundation",2017,"fiction",198,"winner","Saunders","George","Saunders, George","man","unknown",FALSE,"Non-UK White","White American","Masters","Syracuse University","Writing","Creative Writing","49395618",286,"Lincoln in the Bardo"
"784",784,16,"Baillie Gifford Prize for Non-Fiction","Baillie Gifford Prize for Non-Fiction","Samuel Johnson Prize for Non-Fiction Limited",2017,"non-fiction",626,"shortlisted","Schama","Simon","Schama, Simon","man","unknown",TRUE,"White British","English","Masters","University of Cambridge","History and Cultural Studies","History","46784579",787,"Belonging"
"785",785,8,"Booker Prize","Man Booker Prize","Booker Foundation",2017,"fiction",70,"shortlisted","Smith","Ali","Smith, Ali","woman","queer",TRUE,"White British","Scottish","Unknown","unknown","Unknown","Unknown","118024365",300,"Autumn"
"786",786,15,"Ted Hughes Award for New Work in Poetry","Ted Hughes Award for New Work in Poetry","Poetry Society",2017,"poetry",589,"shortlisted","Stoddart","Greta","Stoddart, Greta","woman","unknown",TRUE,"White British","British","Unknown","École Internationale de Théâtre Jacques Lecoq","Arts","Acting","40442203",750,"Who's There?"
"787",787,5,"Costa Biography Award","Costa Biography Award","Costa",2017,"biography",57,"winner","Stott","Rebecca","Stott, Rebecca","woman","unknown",TRUE,"White British","British","Juris Doctor","Syracuse University","Law","Law","24671369",315,"In the Days of Rain"
"788",788,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",2017,"fiction",208,"shortlisted","Thien","Madeleine","Thien, Madeleine","woman","unknown",FALSE,"Asian","Chinese Canadian","Masters","University of British Columbia","Writing","Creative Writing","74092627",325,"Do Not Say We Have Nothing"
