"","X","PrizeID","Alias","Prize.Name","Inst","Year","Genre","person_id","person_role","last_name","first_name","name","gender","sexuality","uk_residence","ethnicity_macro","ethnicity","highest_degree","degree_institution","degree_field_category","degree_field","viaf","book_id","book_title"
"1",1,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",294,"shortlisted","Amis","Martin","Amis, Martin","man","unknown",TRUE,"White British","English","Bachelors","University of Oxford","Language and Literature","English Literature","36913662",5,"Time's Arrow"
"2",2,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1991,"fiction",33,"winner","Boyd","William","Boyd, William","man","unknown",TRUE,"White British","British","Unknown","University of Oxford","Language and Literature","English Literature","111500719",36,"Brazzaville Beach"
"3",3,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1991,"fiction",167,"winner","Burn","Gordon","Burn, Gordon","man","unknown",TRUE,"White British","English","None","none","None","None","51988764",42,"Alma Cogan"
"4",4,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",286,"shortlisted","Doyle","Roddy","Doyle, Roddy","man","unknown",FALSE,"Irish","Irish","Bachelors","University College Dublin","Multiple","English and Geography","17301306",77,"The Van"
"5",5,4,"Costa Novel Award","Whitbread Novel","Whitbread",1991,"fiction",168,"winner","Gardam","Jane","Gardam, Jane","woman","unknown",TRUE,"White British","English","Bachelors","University of London","Language and Literature","English Literature","70213168",114,"The Queen of the Tambourine"
"6",6,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1991,"children's",170,"winner","Hendry","Diana","Hendry, Diana","woman","unknown",TRUE,"White British","English","Unknown","University of Bristol","Unknown","Unknown","117170358",138,"Harvey Angell"
"7",7,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1991,"poetry",169,"winner","Longley","Michael","Longley, Michael","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Trinity College, Dublin","Language and Literature","Classics","39398205",182,"Gorse Fires"
"8",8,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",260,"shortlisted","Mistry","Rohinton","Mistry, Rohinton","man","unknown",FALSE,"Asian","Indian Canadian","Bachelors","Bombay University/University of Toronto","Multiple","Mathematics and Economics/English and Philosophy","29581388",225,"Such a Long Journey"
"9",9,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",23,"shortlisted","Mo","Timothy","Mo, Timothy","man","unknown",TRUE,"Asian","Cantonese British","Bachelors","University of Oxford","Unknown","Unknown","76339491",229,"The Redundancy of Courage"
"10",10,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",293,"winner","Okri","Ben","Okri, Ben","man","unknown",FALSE,"African","Nigerian British","Bachelors","Queen's University","Unknown","Unknown","76380613",251,"The Famished Road"
"11",11,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1991,"no/any/multi genre",166,"winner","Richardson","John","Richardson, John","man","queer",TRUE,"White British","British","Unknown","Slade School of Art","Unknown","Unknown","109464483",270,"A Life of Picasso I: The Prodigy"
"12",12,5,"Costa Biography Award","Whitbread Biography","Whitbread",1991,"biography",166,"winner","Richardson","John","Richardson, John","man","queer",TRUE,"White British","British","Unknown","Slade School of Art","Unknown","Unknown","109464483",270,"A Life of Picasso I: The Prodigy"
"13",13,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1991,"sff",512,"winner","Simmons","Dan","Simmons, Dan","man","unknown",FALSE,"Non-UK White","White American","Masters","Washington University","Education","Education","107011235",659,"The Fall of Hyperion"
"14",14,8,"Booker Prize","Booker Prize","Booker Foundation",1991,"fiction",153,"shortlisted","Trevor","William","Trevor, William","man","unknown",TRUE,"Irish","Irish","Bachelors","Trinity College, Dublin","History and Cultural Studies","History","101362985",339,"Reading Turgenev"
"15",15,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1991,"crime",490,"winner","Vine","Barbara","Vine, Barbara","woman","unknown",TRUE,"White British","British","None","none","None","None","98146313",626,"King Solomon's Carpet"
"16",16,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1992,"children's",165,"winner","Cross","Gillian","Cross, Gillian","woman","unknown",TRUE,"White British","British","Doctorate","University of Sussex","Unknown","Unknown","13038315",63,"The Great Elephant Chase"
"17",17,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1992,"crime",489,"winner","Dexter","Colin","Dexter, Colin","man","queer",TRUE,"White British","English","Bachelors","University of Cambridge","Language and Literature","Classics","35243485",625,"The Way Through the Woods"
"18",18,5,"Costa Biography Award","Whitbread Biography","Whitbread",1992,"biography",163,"winner","Glendinning","Victoria","Glendinning, Victoria","woman","unknown",TRUE,"White British","British","Bachelors","University of Oxford","Language and Literature","Modern Languages","4943929",119,"Trollope"
"19",19,4,"Costa Novel Award","Whitbread Novel","Whitbread",1992,"fiction",162,"winner","Gray","Alasdair","Gray, Alasdair","man","unknown",TRUE,"White British","Scottish","Unknown","Glasgow Scool of Art","Arts","Design and Mural Painting","114328115",121,"Poor Things"
"20",20,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1992,"poetry",164,"winner","Harrison","Tony","Harrison, Tony","man","unknown",TRUE,"White British","English","Postgraduate","unknown","Unknown","Unknown","109297940",132,"The Gaze of the Gorgon"
"21",21,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",291,"shortlisted","Hope","Christopher","Hope, Christopher","man","unknown",TRUE,"Non-UK White","White South African","Unknown","University of the Witwatersrand","Unknown","Unknown","108733442",145,"Serenity House"
"22",22,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",270,"shortlisted","McCabe","Patrick","McCabe, Patrick","man","unknown",FALSE,"Irish","Irish","Unknown","St Patrick's Training College","Unknown","Unknown","113858716",202,"The Butcher Boy"
"23",23,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",17,"shortlisted","McEwan","Ian","McEwan, Ian","man","unknown",TRUE,"White British","English","Masters","University of East Anglia","Writing","Creative Writing","109587997",210,"Black Dogs"
"24",24,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",290,"winner","Ondaatje","Michael","Ondaatje, Michael","man","unknown",FALSE,"Asian","Dutch Sri Lankan Canadian","Masters","McGill University","Language and Literature","English Literature","111941870",252,"The English Patient"
"25",25,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",292,"shortlisted","Roberts","Michèle","Roberts, Michèle","woman","unknown",TRUE,"White British","French British","Bachelors","University of Oxford","Language and Literature","English Literature","61642536",274,"Daughters of the House"
"26",26,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1992,"sff",511,"winner","Robinson","Kim Stanley","Robinson, Kim Stanley","man","unknown",FALSE,"Non-UK White","White American","Doctorate","University of California, San Diego","Language and Literature","Science Fiction","44318934",658,"Red Mars"
"27",27,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1992,"fiction",32,"winner","Sinclair","Iain","Sinclair, Iain","man","unknown",TRUE,"White British","Welsh","Bachelors","University of Cambridge","Language and Literature","English Literature","37065843",298,"Downriver"
"28",28,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1992,"no/any/multi genre",161,"winner","Torrington","Jeff","Torrington, Jeff","man","unknown",TRUE,"White British","Scottish","None","none","None","None","79396668",335,"Swing Hammer Swing!"
"29",29,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1992,"fiction",161,"winner","Torrington","Jeff","Torrington, Jeff","man","unknown",TRUE,"White British","Scottish","None","none","None","None","79396668",335,"Swing Hammer Swing!"
"30",30,8,"Booker Prize","Booker Prize","Booker Foundation",1992,"fiction",280,"winner","Unsworth","Barry","Unsworth, Barry","man","unknown",TRUE,"White British","English","Bachelors","University of Manchester","Language and Literature","English Literature","54168450",344,"Sacred Hunger"
"31",31,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1993,"no/any/multi genre",158,"winner","Brady","Joan","Brady, Joan","woman","unknown",TRUE,"Non-UK White","White American","Bachelors","Columbia University","Philosophy and Theology","Philosophy","24930291",38,"Theory of War"
"32",32,4,"Costa Novel Award","Whitbread Novel","Whitbread",1993,"fiction",158,"winner","Brady","Joan","Brady, Joan","woman","unknown",TRUE,"Non-UK White","White American","Bachelors","Columbia University","Philosophy and Theology","Philosophy","24930291",38,"Theory of War"
"33",33,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",1993,"poetry",542,"winner","Carson","Ciaran","Carson, Ciaran","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Queen's University","Language and Literature","English","85621766",695,"First Language: Poems"
"34",34,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1993,"crime",488,"winner","Cornwell","Patricia","Cornwell, Patricia","woman","queer",FALSE,"Non-UK White","White American","Bachelors","Davidson College","Language and Literature","English","36976332",624,"Cruel and Unusual"
"35",35,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1993,"fiction",159,"winner","Cusk","Rachel","Cusk, Rachel","woman","unknown",TRUE,"White British","British","Bachelors","University of Oxford","Language and Literature","English Literature","318745",64,"Saving Agnes"
"36",36,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",286,"winner","Doyle","Roddy","Doyle, Roddy","man","unknown",FALSE,"Irish","Irish","Bachelors","University College Dublin","Multiple","English and Geography","17301306",76,"Paddy Clarke Ha Ha Ha"
"37",37,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1993,"poetry",85,"winner","Duffy","Carol Ann","Duffy, Carol Ann","woman","queer",TRUE,"White British","Scottish","Bachelors","University of Liverpool","Philosophy and Theology","Philosophy","114321106",78,"Mean Time"
"38",38,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1993,"sff",510,"winner","Evans","Christopher","Evans, Christopher","man","unknown",TRUE,"White British","Welsh","Masters","Swansea University","Unknown","Unknown","27290860",657,"Aztec Century"
"39",39,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1993,"children's",146,"winner","Fine","Anne","Fine, Anne","woman","unknown",TRUE,"White British","British","Unknown","unknown","Politics and Economics","Politics and History","17258209",96,"Flour Babies"
"40",40,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",287,"shortlisted","Fischer","Tibor","Fischer, Tibor","man","unknown",TRUE,"Non-UK White","Hungarian British","Bachelors","University of Cambridge","Language and Literature","Latin and French","66560509",98,"Under the Frog"
"41",41,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",288,"shortlisted","Ignatieff","Michael","Ignatieff, Michael","man","unknown",FALSE,"Non-UK White","Russian Canadian","Doctorate","Harvard University","Unknown","Unknown","108356200",151,"Scar Tissue"
"42",42,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",289,"shortlisted","Malouf","David","Malouf, David","man","queer",TRUE,"Jewish","British Jewish Lebanese Australian","Bachelors","University of Queensland","Unknown","Unknown","9850098",192,"Remembering Babylon"
"43",43,5,"Costa Biography Award","Whitbread Biography","Whitbread",1993,"biography",160,"winner","Motion","Andrew","Motion, Andrew","man","unknown",TRUE,"White British","English","Masters","University of Oxford","Language and Literature","Literature","108893413",236,"Philip Larkin: A Writer's Life"
"44",44,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",30,"shortlisted","Phillips","Caryl","Phillips, Caryl","man","unknown",TRUE,"Caribbean","Kittitian British","Bachelors","University of Oxford","Language and Literature","Literature","61589936",261,"Crossing the River"
"45",45,8,"Booker Prize","Booker Prize","Booker Foundation",1993,"fiction",261,"shortlisted","Shields","Carol","Shields, Carol","woman","unknown",FALSE,"Non-UK White","White American Canadian","Masters","University of Ottawa","Language and Literature","English Literature","4944537",294,"The Stone Diaries"
"46",46,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1993,"fiction",31,"winner","Tremain","Rose","Tremain, Rose","woman","unknown",TRUE,"White British","English","Bachelors","University of East Anglia","Language and Literature","English Literature","49285360",337,"Sacred Country"
"47",47,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1994,"sff",508,"winner","Banks","Iain M","Banks, Iain M","man","unknown",TRUE,"White British","Scottish","Bachelors","University of Stirling","Multiple","English Literature, Philosophy and Psychology","73864945",656,"Feersum Endjinn"
"48",48,8,"Booker Prize","Booker Prize","Booker Foundation",1994,"fiction",284,"shortlisted","Brown","George Mackay","Brown, George Mackay","man","unknown",TRUE,"White British","Scottish","Masters","University of Edinburgh","Language and Literature","English Literature","100270317",39,"Beside the Ocean of Time"
"49",49,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1994,"fiction",154,"winner","D'Aguiar","Fred","D'Aguiar, Fred","man","unknown",TRUE,"Caribbean","Guyanese British","Bachelors","University of Kent","History and Cultural Studies","African and Caribbean Studies","115553031",65,"The Longest Memory"
"50",50,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1994,"poetry",156,"winner","Fenton","James","Fenton, James","man","unknown",TRUE,"White British","English","Bachelors","University of Oxford","Language and Literature","English Literature","108728657",93,"Out of Danger"
"51",51,8,"Booker Prize","Booker Prize","Booker Foundation",1994,"fiction",282,"shortlisted","Gunesekera","Romesh","Gunesekera, Romesh","man","unknown",TRUE,"Asian","Sri Lankan Sinhalese","Bachelors","University of Liverpool","Multiple","English and Philosophy","85314372",123,"Reef"
"52",52,8,"Booker Prize","Booker Prize","Booker Foundation",1994,"fiction",283,"shortlisted","Gurnah","Abdulrazak","Gurnah, Abdulrazak","man","unknown",TRUE,"African","Tanzanian British","Doctorate","University of Kent","Language and Literature","African Literature","69037521",124,"Paradise"
"53",53,8,"Booker Prize","Booker Prize","Booker Foundation",1994,"fiction",29,"shortlisted","Hollinghurst","Alan","Hollinghurst, Alan","man","queer",TRUE,"White British","English","Masters","University of Oxford","Language and Literature","English Literature","90719312",141,"The Folding Star"
"54",54,8,"Booker Prize","Booker Prize","Booker Foundation",1994,"fiction",281,"winner","Kelman","James","Kelman, James","man","unknown",TRUE,"White British","Scottish","Unknown","unknown","Unknown","Unknown","111431072",166,"How late it was, how late"
"55",55,5,"Costa Biography Award","Whitbread Biography","Whitbread",1994,"biography",155,"winner","Maddox","Brenda","Maddox, Brenda","woman","unknown",TRUE,"Non-UK White","American British","Bachelors","Harvard University","Language and Literature","English Literature","66492576",190,"D H Lawrence: The Married Man"
"56",56,7,"Costa Children's Book Award","Whitbread Children's Novel","Whitbread",1994,"children's",118,"winner","McCaughrean","Geraldine","McCaughrean, Geraldine","woman","unknown",TRUE,"White British","British","Unknown","Canterbury Christ Church University","Unknown","Unknown","54191408",206,"Gold Dust"
"57",57,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",1994,"poetry",541,"winner","Muldoon","Paul","Muldoon, Paul","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Queen's University","Language and Literature","English","64048541",694,"The Annals of Chile"
"58",58,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1994,"fiction",30,"winner","Phillips","Caryl","Phillips, Caryl","man","unknown",TRUE,"Caribbean","Kittitian British","Bachelors","University of Oxford","Language and Literature","Literature","61589936",261,"Crossing the River"
"59",59,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1994,"no/any/multi genre",153,"winner","Trevor","William","Trevor, William","man","unknown",TRUE,"Irish","Irish","Bachelors","Trinity College, Dublin","History and Cultural Studies","History","101362985",338,"Felicia's Journey"
"60",60,4,"Costa Novel Award","Whitbread Novel","Whitbread",1994,"fiction",153,"winner","Trevor","William","Trevor, William","man","unknown",TRUE,"Irish","Irish","Bachelors","Trinity College, Dublin","History and Cultural Studies","History","101362985",338,"Felicia's Journey"
"61",61,8,"Booker Prize","Booker Prize","Booker Foundation",1994,"fiction",285,"shortlisted","Walsh","Jill Paton","Walsh, Jill Paton","woman","unknown",TRUE,"White British","English","Bachelors","University of Oxford","Language and Literature","English Literature","41968",348,"Knowledge of Angels"
"62",62,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1994,"crime",481,"winner","Walters","Minette","Walters, Minette","woman","unknown",TRUE,"White British","English","Bachelors","Durham University","Language and Literature","French","79704",623,"The Schold's Bridle"
"63",63,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1995,"no/any/multi genre",65,"winner","Atkinson","Kate","Atkinson, Kate","woman","unknown",TRUE,"White British","English","Masters","Dundee University","Language and Literature","English Literature","120584857",9,"Behind the Scenes at the Museum"
"64",64,3,"Costa First Novel Award","Whitbread First Novel","Whitbread",1995,"fiction",65,"winner","Atkinson","Kate","Atkinson, Kate","woman","unknown",TRUE,"White British","English","Masters","Dundee University","Language and Literature","English Literature","120584857",9,"Behind the Scenes at the Museum"
"65",65,8,"Booker Prize","Booker Prize","Booker Foundation",1995,"fiction",279,"winner","Barker","Pat","Barker, Pat","woman","unknown",TRUE,"White British","English","Unknown","University of Cambridge","Multiple","Philosophy and English","98651598",23,"The Ghost Road"
"66",66,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1995,"sff",509,"winner","Baxter","Stephen","Baxter, Stephen","man","unknown",TRUE,"White British","English","Unknown","University of Southampton","Maths and Sciences","Engineering","32155411",655,"The Time Ships"
"67",67,8,"Booker Prize","Booker Prize","Booker Foundation",1995,"fiction",141,"shortlisted","Cartwright","Justin","Cartwright, Justin","man","unknown",TRUE,"Non-UK White","White South African","Bachelors","University of Oxford","Politics and Economics","Politics, Philosophy and Economics","54460956",50,"In Every Face I Meet"
"68",68,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",1995,"poetry",540,"winner","Doty","Mark","Doty, Mark","man","queer",FALSE,"Non-UK White","White American","Masters","Goddard College","Writing","Creative Writing","84141526",693,"My Alexandria"
"69",69,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1995,"fiction",29,"winner","Hollinghurst","Alan","Hollinghurst, Alan","man","queer",TRUE,"White British","English","Masters","University of Oxford","Language and Literature","English Literature","90719312",141,"The Folding Star"
"70",70,5,"Costa Biography Award","Whitbread Biography","Whitbread",1995,"biography",150,"winner","Jenkins","Roy","Jenkins, Roy","man","queer",TRUE,"White British","British","Bachelors","University of Oxford","Unknown","Unknown","68965748",159,"Gladstone"
"71",71,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1995,"crime",479,"winner","McDermid","Val","McDermid, Val","woman","queer",TRUE,"White British","Scottish","Bachelors","University of Oxford","Language and Literature","English","85313207",622,"The Mermaids Singing"
"72",72,7,"Costa Children's Book Award","Beefeater Children's Novel","Whitbread",1995,"children's",152,"winner","Morpurgo","Michael","Morpurgo, Michael","man","unknown",TRUE,"White British","English","Bachelors","King's College, London","Unknown","Unknown","27084898",233,"The Wreck of the Zanzibar"
"73",73,6,"Costa Poetry Award","Whitbread Poetry","Whitbread",1995,"poetry",151,"winner","O'Donoghue","Bernard","O'Donoghue, Bernard","man","unknown",FALSE,"Irish","Irish","Unknown","Cornell University","Writing","Creative Writing","34553683",244,"Gunpowder"
"74",74,4,"Costa Novel Award","Whitbread Novel","Whitbread",1995,"fiction",149,"winner","Rushdie","Salman","Rushdie, Salman","man","unknown",TRUE,"Asian","Indian British","Masters","University of Cambridge","History and Cultural Studies","History","29540187",282,"The Moor's Last Sigh"
"75",75,8,"Booker Prize","Booker Prize","Booker Foundation",1995,"fiction",149,"shortlisted","Rushdie","Salman","Rushdie, Salman","man","unknown",TRUE,"Asian","Indian British","Masters","University of Cambridge","History and Cultural Studies","History","29540187",282,"The Moor's Last Sigh"
"76",76,8,"Booker Prize","Booker Prize","Booker Foundation",1995,"fiction",280,"shortlisted","Unsworth","Barry","Unsworth, Barry","man","unknown",TRUE,"White British","English","Bachelors","University of Manchester","Language and Literature","English Literature","54168450",343,"Morality Play"
"77",77,8,"Booker Prize","Booker Prize","Booker Foundation",1995,"fiction",262,"shortlisted","Winton","Tim","Winton, Tim","man","unknown",FALSE,"Non-UK White","White Australian","Bachelors","Western Australian Institute of Technology","Writing","Creative Writing","61597721",356,"The Riders"
"78",78,8,"Booker Prize","Booker Prize","Booker Foundation",1996,"fiction",190,"shortlisted","Atwood","Margaret","Atwood, Margaret","woman","unknown",FALSE,"Non-UK White","White Canadian","Masters","Radcliffe College","Language and Literature","English Literature","109322990",11,"Alias Grace"
"79",79,4,"Costa Novel Award","Whitbread Novel Award","Whitbread",1996,"fiction",24,"winner","Bainbridge","Beryl","Bainbridge, Beryl","woman","unknown",TRUE,"White British","English","None","none","None","None","4142979",19,"Every Man for Himself"
"80",80,8,"Booker Prize","Booker Prize","Booker Foundation",1996,"fiction",24,"shortlisted","Bainbridge","Beryl","Bainbridge, Beryl","woman","unknown",TRUE,"White British","English","None","none","None","None","4142979",19,"Every Man for Himself"
"81",81,12,"BSFA Award for Best Novel","BSFA Award for Best Novel","British Science Fiction Association",1996,"sff",508,"winner","Banks","Iain M","Banks, Iain M","man","unknown",TRUE,"White British","Scottish","Bachelors","University of Stirling","Multiple","English Literature, Philosophy and Psychology","73864945",654,"Excession"
"82",82,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1996,"fiction",376,"shortlisted","Blackburn","Julia","Blackburn, Julia","woman","unknown",TRUE,"White British","British","Unknown","unknown","Unknown","Unknown","56745497",495,"The Book of Colour"
"83",83,8,"Booker Prize","Booker Prize","Booker Foundation",1996,"fiction",277,"shortlisted","Deane","Seamus","Deane, Seamus","man","unknown",FALSE,"Irish","Irish","Doctorate","University of Cambridge","Language and Literature","Literature","108344790",69,"Reading in the Dark"
"84",84,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1996,"fiction",54,"winner","Dunmore","Helen","Dunmore, Helen","woman","unknown",TRUE,"White British","English","Bachelors","University of York","Language and Literature","English Literature","79148136",494,"A Spell of Winter"
"85",85,11,"Gold Dagger","Gold Dagger","The Crime Writers' Association",1996,"crime",487,"winner","Elton","Ben","Elton, Ben","man","unknown",TRUE,"Jewish","Jewish British","Bachelors","University of Manchester","Arts","Drama","24743920",621,"Popcorn"
"86",86,7,"Costa Children's Book Award","Whitbread Children's Book of the Year","Whitbread",1996,"children's",146,"winner","Fine","Anne","Fine, Anne","woman","unknown",TRUE,"White British","British","Unknown","unknown","Politics and Economics","Politics and History","17258209",97,"The Tulip Touch"
"87",87,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1996,"no/any/multi genre",134,"winner","Heaney","Seamus","Heaney, Seamus","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Queen's University","Language and Literature","English Literature","109557338",136,"The Spirit Level"
"88",88,6,"Costa Poetry Award","Whitbread Poetry Award","Whitbread",1996,"poetry",134,"winner","Heaney","Seamus","Heaney, Seamus","man","unknown",TRUE,"White British","Northern Irish","Bachelors","Queen's University","Language and Literature","English Literature","109557338",136,"The Spirit Level"
"89",89,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1996,"fiction",388,"shortlisted","Kennedy","Pagan","Kennedy, Pagan","woman","unknown",FALSE,"Non-UK White","White American","Unknown","unknown","Unknown","Unknown","91912648",496,"Spinsters"
"90",90,3,"Costa First Novel Award","Whitbread First Novel Award","Whitbread",1996,"fiction",147,"winner","Lanchester","John","Lanchester, John","man","unknown",TRUE,"White British","English","Unknown","unknown","Unknown","Unknown","85382594",173,"The Debt to Pleasure"
"91",91,5,"Costa Biography Award","Whitbread Biography Award","Whitbread",1996,"biography",148,"winner","MacCulloch","Diarmaid","MacCulloch, Diarmaid","man","queer",TRUE,"White British","English","Doctorate","University of Oxford","Philosophy and Theology","Theology","19699840",185,"Thomas Cranmer: A Life"
"92",92,8,"Booker Prize","Booker Prize","Booker Foundation",1996,"fiction",278,"shortlisted","Mackay","Shena","Mackay, Shena","woman","unknown",TRUE,"White British","Scottish","None","none","None","None","49454346",187,"The Orchard on Fire"
"93",93,8,"Booker Prize","Booker Prize","Booker Foundation",1996,"fiction",260,"shortlisted","Mistry","Rohinton","Mistry, Rohinton","man","unknown",FALSE,"Asian","Indian Canadian","Bachelors","Bombay University/University of Toronto","Multiple","Mathematics and Economics/English and Philosophy","29581388",223,"A Fine Balance"
"94",94,14,"TS Eliot Prize","TS Eliot Prize","TS Eliot Foundation",1996,"poetry",539,"winner","Murray","Les","Murray, Les","man","unknown",FALSE,"Non-UK White","White Australian","Bachelors","Sydney University","Language and Literature","Modern Languages","4940524",692,"Subhuman Redneck Poems"
"95",95,1,"James Tait Black Prize for Fiction","James Tait Black Prize for Fiction","The University of Edinburgh",1996,"fiction",28,"winner","Priest","Christopher","Priest, Christopher","man","unknown",TRUE,"White British","English","None","none","None","None","54152946",267,"The Prestige"
"96",96,8,"Booker Prize","Booker Prize","Booker Foundation",1996,"fiction",26,"winner","Swift","Graham","Swift, Graham","man","unknown",TRUE,"White British","English","Bachelors","University of Oxford","Philosophy and Theology","Philosophy and Theology","4942037",318,"Last Orders"
"97",97,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1996,"fiction",389,"shortlisted","Tan","Amy","Tan, Amy","woman","unknown",FALSE,"Asian","Chinese American","Masters","San Jose State University","Language and Literature","Linguistics","110768273",497,"The Hundred Secret Senses"
"98",98,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1996,"fiction",212,"shortlisted","Tyler","Anne","Tyler, Anne","woman","unknown",FALSE,"Non-UK White","White American","Bachelors","Duke University","Unknown","Unknown","39384885",498,"Ladder of Years"
"99",99,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1996,"fiction",390,"shortlisted","Wiggins","Marianne","Wiggins, Marianne","woman","unknown",FALSE,"Non-UK White","White American","Unknown","unknown","Unknown","Unknown","85439821",499,"Eveless Eden"
"100",100,10,"Women's Prize for Fiction","Women's Prize for Fiction","Women's Prize Trust",1997,"fiction",190,"shortlisted","Atwood","Margaret","Atwood, Margaret","woman","unknown",FALSE,"Non-UK White","White Canadian","Masters","Radcliffe College","Language and Literature","English Literature","109322990",11,"Alias Grace"
"101",101,4,"Costa Novel Award","Whitbread Novel Award","Whitbread",1997,"fiction",9,"winner","Crace","Jim","Crace, Jim","man","unknown",TRUE,"White British","English","Bachelors","University of London","Language and Literature","English Literature","66497143",62,"Quarantine"
"102",102,8,"Booker Prize","Booker Prize","Booker Foundation",1997,"fiction",9,"shortlisted","Crace","Jim","Crace, Jim","man","unknown",TRUE,"White British","English","Bachelors","University of London","Language and Literature","English Literature","66497143",62,"Quarantine"
"103",103,2,"Costa Book of the Year","Whitbread Book of the Year","Whitbread",1997,"no/any/multi genre",139,"winner","Hughes","Ted","Hughes, Ted","man","unknown",TRUE,"White British","English","Bachelors","University of Cambridge","History and Cultural Studies","Archaeology and Anthropology","108232871",147,"Tales from Ovid"
"104",104,6,"Costa Poetry Award","Whitbread Poetry Award","Whitbread",1997,"poetry",139,"winner","Hughes","Ted","Hughes, Ted","man","unknown",TRUE,"White British","English","Bachelors","University of Cambridge","History and Cultural Studies","Archaeology and Anthropology","108232871",147,"Tales from Ovid"
"105",105,8,"Booker Prize","Booker Prize","Booker Foundation",1997,"fiction",273,"shortlisted","Jackson","Mick","Jackson, Mick","man","unknown",TRUE,"White British","British","Masters","University of East Anglia","Writing","Creative Writing","100319867",154,"The Underground Man"
"106",106,8,"Booker Prize","Booker Prize","Booker Foundation",1997,"fiction",274,"shortlisted","MacLaverty","Bernard","MacLaverty, Bernard","man","unknown",TRUE,"White British","Northern Irish","Unknown","Queen's University","Unknown","Unknown","95151565",188,"Grace Notes"
